,Experiment name:,Sample experiment
'0:1:27.8,71,0.4334
'0:1:27.9,71,0.4331
'0:1:28.0,71,0.4329
'0:1:28.1,71,0.4327
'0:1:28.2,71,0.4325
'0:1:28.3,71,0.4321
'0:1:28.4,72,0.4319
'0:1:28.5,72,0.4316
'0:1:28.6,72,0.4314
'0:1:28.7,72,0.4312
'0:1:28.8,72,0.4310
'0:1:28.9,72,0.4308
'0:1:29.0,72,0.4306
'0:1:29.1,72,0.4305
'0:1:29.2,72,0.4303
'0:1:29.3,72,0.4301
'0:1:29.4,72,0.4299
'0:1:29.5,72,0.4297
'0:1:29.6,72,0.4294
'0:1:29.7,72,0.4291
'0:1:29.8,72,0.4289
'0:1:29.9,72,0.4287
'0:1:30.0,72,0.4287
'0:1:30.1,72,0.4286
'0:1:30.2,72,0.4284
'0:1:30.3,72,0.4284
'0:1:30.4,72,0.4282
'0:1:30.5,72,0.4280
'0:1:30.6,72,0.4280
'0:1:30.7,72,0.4278
'0:1:30.8,72,0.4275
'0:1:30.9,72,0.4273
'0:1:31.0,72,0.4271
'0:1:31.1,72,0.4271
'0:1:31.2,72,0.4269
'0:1:31.3,72,0.4268
'0:1:31.4,72,0.4267
'0:1:31.5,72,0.4263
'0:1:31.6,72,0.4261
'0:1:31.7,72,0.4259
'0:1:31.8,71,0.4257
'0:1:31.9,71,0.4256
'0:1:32.0,71,0.4254
'0:1:32.1,71,0.4254
'0:1:32.2,71,0.4252
'0:1:32.3,71,0.4250
'0:1:32.4,71,0.4249
'0:1:32.5,71,0.4249
'0:1:32.6,72,0.4248
'0:1:32.7,72,0.4248
'0:1:32.8,72,0.4248
'0:1:32.9,72,0.4247
'0:1:33.0,72,0.4246
'0:1:33.1,72,0.4245
'0:1:33.2,72,0.4247
'0:1:33.3,72,0.4246
'0:1:33.4,71,0.4244
'0:1:33.5,71,0.4242
'0:1:33.6,71,0.4240
'0:1:33.7,71,0.4239
'0:1:33.8,71,0.4237
'0:1:33.9,71,0.4236
'0:1:34.0,71,0.4234
'0:1:34.1,71,0.4230
'0:1:34.2,71,0.4229
'0:1:34.3,71,0.4226
'0:1:34.4,71,0.4225
'0:1:34.5,71,0.4222
'0:1:34.6,71,0.4218
'0:1:34.7,71,0.4215
'0:1:34.8,71,0.4211
'0:1:34.9,71,0.4210
'0:1:35.0,71,0.4207
'0:1:35.1,71,0.4205
'0:1:35.2,71,0.4202
'0:1:35.3,71,0.4199
'0:1:35.4,71,0.4198
'0:1:35.5,71,0.4199
'0:1:35.6,71,0.4195
'0:1:35.7,71,0.4190
'0:1:35.8,71,0.4186
'0:1:35.9,71,0.4183
'0:1:36.0,71,0.4179
'0:1:36.1,71,0.4177
'0:1:36.2,71,0.4175
'0:1:36.3,71,0.4173
'0:1:36.4,71,0.4169
'0:1:36.5,71,0.4165
'0:1:36.6,71,0.4161
'0:1:36.7,71,0.4157
'0:1:36.8,71,0.4153
'0:1:36.9,71,0.4151
'0:1:37.0,71,0.4149
'0:1:37.1,71,0.4146
'0:1:37.2,71,0.4143
'0:1:37.3,71,0.4140
'0:1:37.4,71,0.4138
'0:1:37.5,71,0.4135
'0:1:37.6,71,0.4133
'0:1:37.7,71,0.4130
'0:1:37.8,71,0.4127
'0:1:37.9,71,0.4125
'0:1:38.0,71,0.4122
'0:1:38.1,71,0.4120
'0:1:38.2,71,0.4117
'0:1:38.3,71,0.4113
'0:1:38.4,71,0.4111
'0:1:38.5,71,0.4109
'0:1:38.6,71,0.4109
'0:1:38.7,71,0.4107
'0:1:38.8,71,0.4106
'0:1:38.9,71,0.4103
'0:1:39.0,71,0.4100
'0:1:39.1,71,0.4097
'0:1:39.2,71,0.4095
'0:1:39.3,71,0.4094
'0:1:39.4,71,0.4095
'0:1:39.5,71,0.4093
'0:1:39.6,71,0.4093
'0:1:39.7,71,0.4093
'0:1:39.8,71,0.4093
'0:1:39.9,71,0.4093
'0:1:40.0,71,0.4092
'0:1:40.1,71,0.4091
'0:1:40.2,71,0.4089
'0:1:40.3,71,0.4086
'0:1:40.4,71,0.4084
'0:1:40.5,71,0.4081
'0:1:40.6,71,0.4079
'0:1:40.7,71,0.4075
'0:1:40.8,71,0.4072
'0:1:40.9,71,0.4070
'0:1:41.0,71,0.4068
'0:1:41.1,71,0.4065
'0:1:41.2,71,0.4063
'0:1:41.3,71,0.4062
'0:1:41.4,71,0.4059
'0:1:41.5,71,0.4057
'0:1:41.6,71,0.4056
'0:1:41.7,71,0.4058
'0:1:41.8,71,0.4057
'0:1:41.9,70,0.4054
'0:1:42.0,70,0.4050
'0:1:42.1,70,0.4048
'0:1:42.2,70,0.4047
'0:1:42.3,70,0.4045
'0:1:42.4,70,0.4043
'0:1:42.5,70,0.4040
'0:1:42.6,70,0.4038
'0:1:42.7,70,0.4036
'0:1:42.8,70,0.4033
'0:1:42.9,70,0.4031
'0:1:43.0,70,0.4031
'0:1:43.1,70,0.4029
'0:1:43.2,70,0.4027
'0:1:43.3,70,0.4025
'0:1:43.4,70,0.4023
'0:1:43.5,70,0.4022
'0:1:43.6,71,0.4020
'0:1:43.7,71,0.4018
'0:1:43.8,71,0.4016
'0:1:43.9,71,0.4014
'0:1:44.0,71,0.4013
'0:1:44.1,71,0.4012
'0:1:44.2,71,0.4011
'0:1:44.3,71,0.4010
'0:1:44.4,70,0.4010
'0:1:44.5,70,0.4009
'0:1:44.6,70,0.4007
'0:1:44.7,70,0.4006
'0:1:44.8,70,0.4005
'0:1:44.9,70,0.4004
'0:1:45.0,70,0.4002
'0:1:45.1,70,0.4001
'0:1:45.2,71,0.4000
'0:1:45.3,71,0.4000
'0:1:45.4,71,0.4001
'0:1:45.5,71,0.4000
'0:1:45.6,71,0.3999
'0:1:45.7,71,0.3999
'0:1:45.8,71,0.3999
'0:1:45.9,71,0.3998
'0:1:46.0,71,0.3999
'0:1:46.1,71,0.3999
'0:1:46.2,71,0.3999
'0:1:46.3,71,0.3998
'0:1:46.4,71,0.3995
'0:1:46.5,71,0.3993
'0:1:46.6,71,0.3995
'0:1:46.7,71,0.3993
'0:1:46.8,71,0.3994
'0:1:46.9,71,0.3993
'0:1:47.0,71,0.3989
'0:1:47.1,71,0.3986
'0:1:47.2,71,0.3985
'0:1:47.3,71,0.3983
'0:1:47.4,71,0.3981
'0:1:47.5,71,0.3978
'0:1:47.6,71,0.3966
'0:1:47.7,71,0.3965
'0:1:47.8,71,0.3969
'0:1:47.9,71,0.3972
'0:1:48.0,71,0.3970
'0:1:48.1,71,0.3969
'0:1:48.2,71,0.3969
'0:1:48.3,71,0.3967
'0:1:48.4,71,0.3965
'0:1:48.5,71,0.3965
'0:1:48.6,71,0.3964
'0:1:48.7,71,0.3965
'0:1:48.8,71,0.3965
'0:1:48.9,71,0.3964
'0:1:49.0,71,0.3962
'0:1:49.1,71,0.3960
'0:1:49.2,71,0.3960
'0:1:49.3,71,0.3958
'0:1:49.4,71,0.3958
'0:1:49.5,71,0.3957
'0:1:49.6,71,0.3958
'0:1:49.7,71,0.3958
'0:1:49.8,71,0.3958
'0:1:49.9,71,0.3957
'0:1:50.0,71,0.3955
'0:1:50.1,71,0.3954
'0:1:50.2,71,0.3953
'0:1:50.3,71,0.3953
'0:1:50.4,71,0.3954
'0:1:50.5,71,0.3954
'0:1:50.6,71,0.3953
'0:1:50.7,71,0.3952
'0:1:50.8,71,0.3950
'0:1:50.9,71,0.3950
'0:1:51.0,71,0.3950
'0:1:51.1,72,0.3951
'0:1:51.2,72,0.3950
'0:1:51.3,72,0.3949
'0:1:51.4,72,0.3948
'0:1:51.5,72,0.3947
'0:1:51.6,72,0.3945
'0:1:51.7,72,0.3943
'0:1:51.8,72,0.3941
'0:1:51.9,71,0.3941
'0:1:52.0,71,0.3940
'0:1:52.1,71,0.3939
'0:1:52.2,71,0.3939
'0:1:52.3,71,0.3939
'0:1:52.4,71,0.3937
'0:1:52.5,71,0.3936
'0:1:52.6,71,0.3933
'0:1:52.7,71,0.3931
'0:1:52.8,71,0.3929
'0:1:52.9,71,0.3928
'0:1:53.0,71,0.3927
'0:1:53.1,71,0.3925
'0:1:53.2,71,0.3923
'0:1:53.3,71,0.3922
'0:1:53.4,71,0.3921
'0:1:53.5,71,0.3919
'0:1:53.6,71,0.3918
'0:1:53.7,71,0.3916
'0:1:53.8,71,0.3915
'0:1:53.9,71,0.3913
'0:1:54.0,71,0.3913
'0:1:54.1,71,0.3910
'0:1:54.2,71,0.3909
'0:1:54.3,71,0.3908
'0:1:54.4,71,0.3906
'0:1:54.5,71,0.3906
'0:1:54.6,71,0.3904
'0:1:54.7,71,0.3902
'0:1:54.8,71,0.3901
'0:1:54.9,71,0.3899
'0:1:55.0,71,0.3899
'0:1:55.1,71,0.3898
'0:1:55.2,71,0.3896
'0:1:55.3,71,0.3895
'0:1:55.4,71,0.3892
'0:1:55.5,71,0.3893
'0:1:55.6,71,0.3894
'0:1:55.7,71,0.3891
'0:1:55.8,71,0.3890
'0:1:55.9,71,0.3889
'0:1:56.0,71,0.3888
'0:1:56.1,71,0.3886
'0:1:56.2,71,0.3885
'0:1:56.3,71,0.3883
'0:1:56.4,71,0.3882
'0:1:56.5,71,0.3881
'0:1:56.6,71,0.3880
'0:1:56.7,71,0.3878
'0:1:56.8,71,0.3878
'0:1:56.9,71,0.3877
'0:1:57.0,71,0.3874
'0:1:57.1,71,0.3873
'0:1:57.2,71,0.3870
'0:1:57.3,71,0.3870
'0:1:57.4,71,0.3867
'0:1:57.5,71,0.3866
'0:1:57.6,71,0.3866
'0:1:57.7,71,0.3866
'0:1:57.8,71,0.3866
'0:1:57.9,70,0.3867
'0:1:58.0,70,0.3867
'0:1:58.1,70,0.3870
'0:1:58.2,70,0.3875
'0:1:58.3,70,0.3875
'0:1:58.4,70,0.3874
'0:1:58.5,70,0.3873
'0:1:58.6,70,0.3872
'0:1:58.7,70,0.3872
'0:1:58.8,70,0.3869
'0:1:58.9,70,0.3868
'0:1:59.0,70,0.3866
'0:1:59.1,70,0.3863
'0:1:59.2,70,0.3861
'0:1:59.3,70,0.3859
'0:1:59.4,70,0.3859
'0:1:59.5,63,0.3858
'0:1:59.6,63,0.3859
'0:1:59.7,63,0.3856
'0:1:59.8,63,0.3856
'0:1:59.9,63,0.3855
'0:2:0,63,0.3854
'0:2:0.1,63,0.3853
'0:2:0.2,63,0.3852
'0:2:0.3,63,0.3851
'0:2:0.4,63,0.3850
'0:2:0.5,63,0.3849
'0:2:0.6,63,0.3848
'0:2:0.7,63,0.3847
'0:2:0.8,63,0.3847
'0:2:0.9,63,0.3847
'0:2:1.0,63,0.3845
'0:2:1.1,63,0.3843
'0:2:1.2,63,0.3843
'0:2:1.3,63,0.3842
'0:2:1.4,63,0.3841
'0:2:1.5,63,0.3841
'0:2:1.6,63,0.3840
'0:2:1.7,63,0.3839
'0:2:1.8,63,0.3837
'0:2:1.9,63,0.3836
'0:2:2.0,63,0.3835
'0:2:2.1,63,0.3834
'0:2:2.2,63,0.3833
'0:2:2.3,63,0.3832
'0:2:2.4,63,0.3830
'0:2:2.5,63,0.3828
'0:2:2.6,63,0.3826
'0:2:2.7,63,0.3826
'0:2:2.8,63,0.3824
'0:2:2.9,63,0.3824
'0:2:3.0,63,0.3821
'0:2:3.1,63,0.3820
'0:2:3.2,63,0.3818
'0:2:3.3,63,0.3817
'0:2:3.4,63,0.3815
'0:2:3.5,63,0.3813
'0:2:3.6,63,0.3810
'0:2:3.7,63,0.3809
'0:2:3.8,63,0.3808
'0:2:3.9,63,0.3805
'0:2:4.0,63,0.3803
'0:2:4.1,63,0.3802
'0:2:4.2,63,0.3801
'0:2:4.3,63,0.3798
'0:2:4.4,63,0.3796
'0:2:4.5,63,0.3795
'0:2:4.6,63,0.3793
'0:2:4.7,62,0.3795
'0:2:4.8,62,0.3795
'0:2:4.9,62,0.3793
'0:2:5.0,62,0.3791
'0:2:5.1,62,0.3790
'0:2:5.2,62,0.3790
'0:2:5.3,62,0.3790
'0:2:5.4,62,0.3788
'0:2:5.5,63,0.3786
'0:2:5.6,63,0.3785
'0:2:5.7,63,0.3785
'0:2:5.8,63,0.3785
'0:2:5.9,63,0.3783
'0:2:6.0,63,0.3781
'0:2:6.1,63,0.3779
'0:2:6.2,63,0.3777
'0:2:6.3,70,0.3776
'0:2:6.4,70,0.3774
'0:2:6.5,70,0.3773
'0:2:6.6,70,0.3773
'0:2:6.7,70,0.3771
'0:2:6.8,70,0.3770
'0:2:6.9,70,0.3770
'0:2:7.0,70,0.3770
'0:2:7.1,70,0.3770
'0:2:7.2,70,0.3771
'0:2:7.3,70,0.3773
'0:2:7.4,70,0.3773
'0:2:7.5,70,0.3774
'0:2:7.6,70,0.3777
'0:2:7.7,70,0.3778
'0:2:7.8,70,0.3781
'0:2:7.9,70,0.3786
'0:2:8.0,70,0.3793
'0:2:8.1,70,0.3797
'0:2:8.2,70,0.3801
'0:2:8.3,70,0.3805
'0:2:8.4,70,0.3808
'0:2:8.5,70,0.3810
'0:2:8.6,70,0.3813
'0:2:8.7,70,0.3815
'0:2:8.8,70,0.3818
'0:2:8.9,70,0.3819
'0:2:9.0,70,0.3820
'0:2:9.1,70,0.3822
'0:2:9.2,70,0.3822
'0:2:9.3,70,0.3823
'0:2:9.4,70,0.3822
'0:2:9.5,70,0.3822
'0:2:9.6,70,0.3822
'0:2:9.7,71,0.3821
'0:2:9.8,71,0.3820
'0:2:9.9,71,0.3820
'0:2:10.0,71,0.3819
'0:2:10.1,71,0.3819
'0:2:10.2,71,0.3818
'0:2:10.3,71,0.3815
'0:2:10.4,71,0.3814
'0:2:10.5,71,0.3813
'0:2:10.6,71,0.3812
'0:2:10.7,71,0.3810
'0:2:10.8,71,0.3809
'0:2:10.9,71,0.3810
'0:2:11.0,71,0.3811
'0:2:11.1,71,0.3813
'0:2:11.2,71,0.3815
'0:2:11.3,71,0.3818
'0:2:11.4,71,0.3823
'0:2:11.5,71,0.3829
'0:2:11.6,71,0.3834
'0:2:11.7,71,0.3839
'0:2:11.8,71,0.3844
'0:2:11.9,71,0.3849
'0:2:12.0,71,0.3854
'0:2:12.1,71,0.3859
'0:2:12.2,71,0.3867
'0:2:12.3,71,0.3873
'0:2:12.4,71,0.3876
'0:2:12.5,71,0.3880
'0:2:12.6,71,0.3884
'0:2:12.7,71,0.3889
'0:2:12.8,71,0.3893
'0:2:12.9,71,0.3897
'0:2:13.0,71,0.3901
'0:2:13.1,71,0.3912
'0:2:13.2,71,0.3918
'0:2:13.3,71,0.3918
'0:2:13.4,71,0.3918
'0:2:13.5,71,0.3919
'0:2:13.6,71,0.3921
'0:2:13.7,71,0.3920
'0:2:13.8,71,0.3918
'0:2:13.9,71,0.3918
'0:2:14.0,71,0.3916
'0:2:14.1,71,0.3915
'0:2:14.2,71,0.3912
'0:2:14.3,71,0.3909
'0:2:14.4,71,0.3909
'0:2:14.5,71,0.3906
'0:2:14.6,71,0.3903
'0:2:14.7,72,0.3901
'0:2:14.8,72,0.3897
'0:2:14.9,72,0.3894
'0:2:15.0,72,0.3891
'0:2:15.1,72,0.3887
'0:2:15.2,72,0.3884
'0:2:15.3,72,0.3880
'0:2:15.4,72,0.3875
'0:2:15.5,72,0.3873
'0:2:15.6,72,0.3870
'0:2:15.7,72,0.3866
'0:2:15.8,72,0.3865
'0:2:15.9,72,0.3862
'0:2:16.0,72,0.3858
'0:2:16.1,72,0.3857
'0:2:16.2,72,0.3854
'0:2:16.3,72,0.3853
'0:2:16.4,72,0.3847
'0:2:16.5,72,0.3844
'0:2:16.6,72,0.3842
'0:2:16.7,72,0.3839
'0:2:16.8,72,0.3836
'0:2:16.9,72,0.3832
'0:2:17.0,72,0.3828
'0:2:17.1,72,0.3823
'0:2:17.2,72,0.3820
'0:2:17.3,72,0.3818
'0:2:17.4,72,0.3816
'0:2:17.5,72,0.3813
'0:2:17.6,72,0.3810
'0:2:17.7,72,0.3807
'0:2:17.8,72,0.3805
'0:2:17.9,72,0.3802
'0:2:18.0,72,0.3800
'0:2:18.1,72,0.3796
'0:2:18.2,72,0.3793
'0:2:18.3,72,0.3790
'0:2:18.4,72,0.3787
'0:2:18.5,72,0.3785
'0:2:18.6,72,0.3783
'0:2:18.7,72,0.3781
'0:2:18.8,72,0.3778
'0:2:18.9,72,0.3776
'0:2:19.0,72,0.3774
'0:2:19.1,72,0.3772
'0:2:19.2,72,0.3770
'0:2:19.3,72,0.3768
'0:2:19.4,72,0.3766
'0:2:19.5,72,0.3763
'0:2:19.6,72,0.3761
'0:2:19.7,71,0.3758
'0:2:19.8,71,0.3756
'0:2:19.9,71,0.3754
'0:2:20.0,71,0.3751
'0:2:20.1,71,0.3748
'0:2:20.2,71,0.3747
'0:2:20.3,71,0.3746
'0:2:20.4,71,0.3744
'0:2:20.5,72,0.3742
'0:2:20.6,72,0.3739
'0:2:20.7,72,0.3737
'0:2:20.8,72,0.3735
'0:2:20.9,72,0.3734
'0:2:21.0,72,0.3732
'0:2:21.1,72,0.3731
'0:2:21.2,72,0.3727
'0:2:21.3,71,0.3724
'0:2:21.4,71,0.3722
'0:2:21.5,71,0.3720
'0:2:21.6,71,0.3719
'0:2:21.7,71,0.3716
'0:2:21.8,71,0.3713
'0:2:21.9,71,0.3712
'0:2:22.0,71,0.3710
'0:2:22.1,71,0.3706
'0:2:22.2,71,0.3705
'0:2:22.3,71,0.3706
'0:2:22.4,71,0.3704
'0:2:22.5,71,0.3701
'0:2:22.6,71,0.3698
'0:2:22.7,71,0.3697
'0:2:22.8,71,0.3695
'0:2:22.9,71,0.3692
'0:2:23.0,71,0.3691
'0:2:23.1,71,0.3689
'0:2:23.2,71,0.3688
'0:2:23.3,71,0.3687
'0:2:23.4,71,0.3685
'0:2:23.5,71,0.3683
'0:2:23.6,71,0.3681
'0:2:23.7,71,0.3679
'0:2:23.8,71,0.3678
'0:2:23.9,71,0.3677
'0:2:24.0,71,0.3675
'0:2:24.1,71,0.3674
'0:2:24.2,71,0.3673
'0:2:24.3,71,0.3671
'0:2:24.4,71,0.3670
'0:2:24.5,71,0.3671
'0:2:24.6,71,0.3669
'0:2:24.7,71,0.3667
'0:2:24.8,71,0.3666
'0:2:24.9,71,0.3664
'0:2:25.0,71,0.3662
'0:2:25.1,71,0.3661
'0:2:25.2,71,0.3659
'0:2:25.3,71,0.3659
'0:2:25.4,71,0.3658
'0:2:25.5,71,0.3657
'0:2:25.6,71,0.3656
'0:2:25.7,71,0.3654
'0:2:25.8,71,0.3653
'0:2:25.9,71,0.3651
'0:2:26.0,71,0.3649
'0:2:26.1,71,0.3648
'0:2:26.2,71,0.3646
'0:2:26.3,71,0.3644
'0:2:26.4,71,0.3643
'0:2:26.5,71,0.3642
'0:2:26.6,71,0.3641
'0:2:26.7,71,0.3640
'0:2:26.8,71,0.3639
'0:2:26.9,71,0.3635
'0:2:27.0,71,0.3634
'0:2:27.1,71,0.3631
'0:2:27.2,71,0.3630
'0:2:27.3,71,0.3628
'0:2:27.4,71,0.3626
'0:2:27.5,71,0.3623
'0:2:27.6,71,0.3622
'0:2:27.7,71,0.3620
'0:2:27.8,71,0.3619
'0:2:27.9,71,0.3618
'0:2:28.0,71,0.3616
'0:2:28.1,71,0.3614
'0:2:28.2,71,0.3613
'0:2:28.3,71,0.3612
'0:2:28.4,71,0.3610
'0:2:28.5,71,0.3609
'0:2:28.6,71,0.3607
'0:2:28.7,71,0.3605
'0:2:28.8,71,0.3604
'0:2:28.9,71,0.3603
'0:2:29.0,71,0.3602
'0:2:29.1,71,0.3602
'0:2:29.2,71,0.3602
'0:2:29.3,71,0.3601
'0:2:29.4,71,0.3598
'0:2:29.5,71,0.3595
'0:2:29.6,71,0.3595
'0:2:29.7,71,0.3594
'0:2:29.8,71,0.3592
'0:2:29.9,71,0.3591
'0:2:30.0,71,0.3589
'0:2:30.1,71,0.3587
'0:2:30.2,71,0.3586
'0:2:30.3,71,0.3584
'0:2:30.4,71,0.3582
'0:2:30.5,71,0.3582
'0:2:30.6,71,0.3581
'0:2:30.7,71,0.3581
'0:2:30.8,71,0.3581
'0:2:30.9,71,0.3579
'0:2:31.0,71,0.3578
'0:2:31.1,71,0.3578
'0:2:31.2,71,0.3575
'0:2:31.3,71,0.3573
'0:2:31.4,71,0.3573
'0:2:31.5,71,0.3572
'0:2:31.6,71,0.3571
'0:2:31.7,71,0.3569
'0:2:31.8,71,0.3569
'0:2:31.9,71,0.3571
'0:2:32.0,71,0.3571
'0:2:32.1,71,0.3571
'0:2:32.2,71,0.3570
'0:2:32.3,71,0.3570
'0:2:32.4,71,0.3569
'0:2:32.5,71,0.3569
'0:2:32.6,71,0.3568
'0:2:32.7,71,0.3567
'0:2:32.8,71,0.3567
'0:2:32.9,71,0.3566
'0:2:33.0,71,0.3565
'0:2:33.1,71,0.3563
'0:2:33.2,71,0.3561
'0:2:33.3,71,0.3561
'0:2:33.4,71,0.3559
'0:2:33.5,71,0.3559
'0:2:33.6,71,0.3558
'0:2:33.7,71,0.3557
'0:2:33.8,71,0.3555
'0:2:33.9,71,0.3556
'0:2:34.0,70,0.3556
'0:2:34.1,70,0.3553
'0:2:34.2,70,0.3553
'0:2:34.3,70,0.3551
'0:2:34.4,70,0.3550
'0:2:34.5,70,0.3550
'0:2:34.6,70,0.3553
'0:2:34.7,70,0.3552
'0:2:34.8,70,0.3551
'0:2:34.9,70,0.3550
'0:2:35.0,70,0.3548
'0:2:35.1,70,0.3547
'0:2:35.2,70,0.3546
'0:2:35.3,70,0.3544
'0:2:35.4,70,0.3543
'0:2:35.5,70,0.3542
'0:2:35.6,71,0.3542
'0:2:35.7,71,0.3542
'0:2:35.8,71,0.3542
'0:2:35.9,71,0.3542
'0:2:36.0,71,0.3542
'0:2:36.1,71,0.3542
'0:2:36.2,71,0.3542
'0:2:36.3,71,0.3543
'0:2:36.4,71,0.3544
'0:2:36.5,71,0.3544
'0:2:36.6,71,0.3545
'0:2:36.7,71,0.3545
'0:2:36.8,71,0.3547
'0:2:36.9,71,0.3548
'0:2:37.0,71,0.3549
'0:2:37.1,71,0.3551
'0:2:37.2,71,0.3552
'0:2:37.3,71,0.3553
'0:2:37.4,71,0.3553
'0:2:37.5,71,0.3554
'0:2:37.6,71,0.3555
'0:2:37.7,71,0.3557
'0:2:37.8,71,0.3557
'0:2:37.9,71,0.3558
'0:2:38.0,71,0.3559
'0:2:38.1,71,0.3558
'0:2:38.2,71,0.3559
'0:2:38.3,71,0.3559
'0:2:38.4,71,0.3561
'0:2:38.5,71,0.3565
'0:2:38.6,71,0.3561
'0:2:38.7,71,0.3561
'0:2:38.8,71,0.3561
'0:2:38.9,71,0.3563
'0:2:39.0,71,0.3563
'0:2:39.1,71,0.3563
'0:2:39.2,71,0.3564
'0:2:39.3,71,0.3565
'0:2:39.4,71,0.3567
'0:2:39.5,71,0.3566
'0:2:39.6,71,0.3566
'0:2:39.7,71,0.3566
'0:2:39.8,71,0.3565
'0:2:39.9,71,0.3564
'0:2:40.0,71,0.3563
'0:2:40.1,71,0.3562
'0:2:40.2,71,0.3561
'0:2:40.3,71,0.3561
'0:2:40.4,71,0.3560
'0:2:40.5,71,0.3560
'0:2:40.6,71,0.3558
'0:2:40.7,71,0.3557
'0:2:40.8,71,0.3556
'0:2:40.9,71,0.3555
'0:2:41.0,71,0.3553
'0:2:41.1,71,0.3553
'0:2:41.2,71,0.3552
'0:2:41.3,71,0.3552
'0:2:41.4,71,0.3550
'0:2:41.5,72,0.3548
'0:2:41.6,72,0.3545
'0:2:41.7,72,0.3545
'0:2:41.8,72,0.3545
'0:2:41.9,72,0.3543
'0:2:42.0,72,0.3540
'0:2:42.1,72,0.3539
'0:2:42.2,72,0.3537
'0:2:42.3,72,0.3535
'0:2:42.4,71,0.3534
'0:2:42.5,71,0.3532
'0:2:42.6,71,0.3531
'0:2:42.7,71,0.3529
'0:2:42.8,71,0.3526
'0:2:42.9,71,0.3526
'0:2:43.0,71,0.3524
'0:2:43.1,71,0.3523
'0:2:43.2,70,0.3523
'0:2:43.3,70,0.3524
'0:2:43.4,70,0.3523
'0:2:43.5,70,0.3523
'0:2:43.6,70,0.3521
'0:2:43.7,70,0.3520
'0:2:43.8,70,0.3518
'0:2:43.9,70,0.3516
'0:2:44.0,70,0.3515
'0:2:44.1,70,0.3513
'0:2:44.2,70,0.3513
'0:2:44.3,70,0.3511
'0:2:44.4,70,0.3510
'0:2:44.5,70,0.3507
'0:2:44.6,70,0.3506
'0:2:44.7,70,0.3505
'0:2:44.8,70,0.3503
'0:2:44.9,70,0.3501
'0:2:45.0,70,0.3500
'0:2:45.1,70,0.3499
'0:2:45.2,70,0.3497
'0:2:45.3,70,0.3495
'0:2:45.4,70,0.3495
'0:2:45.5,70,0.3494
'0:2:45.6,70,0.3494
'0:2:45.7,70,0.3493
'0:2:45.8,70,0.3491
'0:2:45.9,69,0.3491
'0:2:46.0,69,0.3489
'0:2:46.1,69,0.3488
'0:2:46.2,69,0.3486
'0:2:46.3,69,0.3486
'0:2:46.4,69,0.3485
'0:2:46.5,69,0.3483
'0:2:46.6,69,0.3481
'0:2:46.7,70,0.3481
'0:2:46.8,70,0.3480
'0:2:46.9,70,0.3479
'0:2:47.0,70,0.3477
'0:2:47.1,70,0.3476
'0:2:47.2,70,0.3475
'0:2:47.3,70,0.3473
'0:2:47.4,70,0.3473
'0:2:47.5,70,0.3472
'0:2:47.6,70,0.3471
'0:2:47.7,70,0.3469
'0:2:47.8,70,0.3468
'0:2:47.9,70,0.3468
'0:2:48.0,70,0.3467
'0:2:48.1,70,0.3464
'0:2:48.2,70,0.3463
'0:2:48.3,70,0.3460
'0:2:48.4,70,0.3462
'0:2:48.5,70,0.3462
'0:2:48.6,70,0.3460
'0:2:48.7,70,0.3459
'0:2:48.8,70,0.3456
'0:2:48.9,70,0.3458
'0:2:49.0,70,0.3456
'0:2:49.1,70,0.3455
'0:2:49.2,70,0.3453
'0:2:49.3,70,0.3453
'0:2:49.4,70,0.3452
'0:2:49.5,70,0.3451
'0:2:49.6,70,0.3451
'0:2:49.7,70,0.3449
'0:2:49.8,70,0.3449
'0:2:49.9,70,0.3448
'0:2:50.0,71,0.3448
'0:2:50.1,71,0.3448
'0:2:50.2,71,0.3448
'0:2:50.3,71,0.3448
'0:2:50.4,71,0.3448
'0:2:50.5,71,0.3448
'0:2:50.6,71,0.3449
'0:2:50.7,71,0.3449
'0:2:50.8,71,0.3451
'0:2:50.9,71,0.3452
'0:2:51.0,71,0.3453
'0:2:51.1,71,0.3452
'0:2:51.2,71,0.3454
'0:2:51.3,71,0.3456
'0:2:51.4,71,0.3457
'0:2:51.5,71,0.3456
'0:2:51.6,71,0.3458
'0:2:51.7,71,0.3460
'0:2:51.8,71,0.3461
'0:2:51.9,71,0.3462
'0:2:52.0,71,0.3462
'0:2:52.1,71,0.3462
'0:2:52.2,71,0.3462
'0:2:52.3,71,0.3462
'0:2:52.4,71,0.3461
'0:2:52.5,72,0.3460
'0:2:52.6,72,0.3460
'0:2:52.7,72,0.3460
'0:2:52.8,72,0.3459
'0:2:52.9,72,0.3458
'0:2:53.0,72,0.3456
'0:2:53.1,72,0.3454
'0:2:53.2,72,0.3452
'0:2:53.3,72,0.3453
'0:2:53.4,72,0.3453
'0:2:53.5,72,0.3451
'0:2:53.6,72,0.3448
'0:2:53.7,72,0.3448
'0:2:53.8,72,0.3446
'0:2:53.9,72,0.3445
'0:2:54.0,72,0.3442
'0:2:54.1,72,0.3441
'0:2:54.2,72,0.3440
'0:2:54.3,72,0.3440
'0:2:54.4,72,0.3440
'0:2:54.5,72,0.3438
'0:2:54.6,72,0.3435
'0:2:54.7,72,0.3433
'0:2:54.8,72,0.3431
'0:2:54.9,72,0.3429
'0:2:55.0,72,0.3428
'0:2:55.1,72,0.3426
